system;class;Bridge;Composite;ChainOfResponsibility;TemplateMethod;FactoryMethod;Prototype;cbo;wmc;dit;rfc;nom;loc;GC;RPB;FE;LM
jasperreports;net.sf.jasperreports.engine.util.JRApiWriter;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;1;0;1;0
jasperreports;net.sf.jasperreports.engine.xml.JRXmlWriter;0;0;1;1;0;0;125;304;2;638;121;2143;1;1;1;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillChartAxis;0;0;1;0;1;0;7;9;1;7;7;43;0;1;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseMultiAxisPlot;0;0;1;0;1;0;9;10;2;13;5;62;0;0;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignMultiAxisPlot;0;0;1;0;1;0;7;6;3;9;5;42;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.DefaultChartTheme;0;0;1;0;1;0;103;236;1;367;40;1604;1;0;1;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillDataRange;0;0;1;0;0;0;4;4;1;3;4;25;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillChart;0;0;1;1;1;0;112;263;2;225;147;1168;1;1;1;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillGanttSeries;0;0;1;0;1;0;11;23;1;21;20;124;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillItemLabel;0;0;1;0;0;0;5;6;1;6;6;37;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillPieSeries;0;0;1;0;1;0;12;16;1;14;13;93;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBasePieDataset;0;0;1;1;1;0;15;34;3;24;20;172;0;1;1;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignPieDataset;0;0;1;1;0;0;13;44;4;24;28;224;1;1;1;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillTimePeriodSeries;0;0;1;0;1;0;12;20;1;18;17;98;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillTimeSeries;0;0;1;0;1;0;12;18;1;16;15;104;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillValueDisplay;0;0;1;0;0;0;5;6;1;6;6;36;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillXySeries;0;0;1;0;1;0;12;18;1;16;15;103;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillXyzSeries;0;0;1;0;1;0;12;18;1;16;15;89;0;0;0;0
jasperreports;net.sf.jasperreports.components.spiderchart.FillChartSettings;0;0;1;0;0;0;13;33;1;30;30;124;0;0;1;0
jasperreports;net.sf.jasperreports.components.spiderchart.SpiderChartDesignConverter;0;0;1;0;1;0;11;2;1;15;1;30;0;0;0;0
jasperreports;net.sf.jasperreports.components.spiderchart.SpiderChartDesignEvaluator;0;0;1;0;1;0;27;40;1;75;6;239;0;0;1;1
jasperreports;net.sf.jasperreports.components.spiderchart.FillSpiderPlot;0;0;1;0;0;0;7;16;1;16;16;66;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillCellContents;0;0;1;1;1;0;38;95;3;91;48;537;1;1;0;0
jasperreports;net.sf.jasperreports.engine.convert.CrosstabConverter;0;0;1;0;1;0;25;59;3;56;9;393;1;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillCrosstab;0;0;1;1;1;0;68;111;3;168;52;1687;1;1;1;0
jasperreports;net.sf.jasperreports.compilers.JRBshCompiler;0;0;1;1;0;0;11;12;2;14;7;78;0;0;1;0
jasperreports;net.sf.jasperreports.compilers.JRGroovyCompiler;0;0;1;1;0;0;13;13;4;13;5;116;0;0;0;0
jasperreports;net.sf.jasperreports.compilers.JavaScriptCompiler;0;0;1;1;0;0;13;13;2;23;7;105;0;0;0;1
jasperreports;net.sf.jasperreports.components.table.fill.FillTableSubreport;0;0;1;1;1;0;16;24;3;26;14;129;0;1;0;0
jasperreports;net.sf.jasperreports.components.table.fill.TableReportCompileData;0;0;1;0;0;0;4;4;2;3;3;34;0;0;0;0
jasperreports;net.sf.jasperreports.components.table.fill.TableSubreport;0;0;1;0;0;0;9;15;2;5;13;84;0;1;0;0
jasperreports;net.sf.jasperreports.engine.ElementDecorator;0;0;1;0;0;0;18;52;1;34;51;228;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseBreak;0;0;1;1;1;0;7;11;2;10;10;63;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseChart;0;0;1;1;1;0;57;165;2;128;120;843;1;1;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseComponentElement;0;0;1;1;1;0;10;5;2;7;5;41;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseElement;0;0;1;1;1;0;22;65;1;57;54;371;1;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseEllipse;0;0;1;1;1;0;5;3;3;2;3;21;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseFrame;0;0;1;1;1;0;21;72;2;55;67;367;0;1;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseGenericElement;0;0;1;1;1;0;9;11;2;14;9;77;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseGraphicElement;0;0;1;1;1;0;10;20;2;20;17;104;0;1;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseImage;0;0;1;1;1;0;35;129;3;111;111;650;1;1;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseLine;0;0;1;1;1;0;8;11;3;11;9;63;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseRectangle;0;0;1;1;1;0;9;7;3;8;7;42;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseStaticText;0;0;1;1;1;0;6;5;3;5;5;34;0;0;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseSubreport;0;0;1;1;1;0;13;34;2;24;17;162;0;1;0;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseTextElement;0;0;1;1;1;0;23;160;2;120;140;738;1;1;1;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseTextField;0;0;1;1;1;0;20;42;3;39;30;226;0;1;0;0
jasperreports;net.sf.jasperreports.engine.base.JRVirtualPrintPage.JRIdHolderTemplateElement;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0
jasperreports;net.sf.jasperreports.engine.convert.ReportConverter;0;0;1;0;0;0;36;51;3;112;18;398;1;0;1;0
jasperreports;net.sf.jasperreports.engine.design.JRAbstractClassCompiler;0;0;1;1;0;0;9;12;3;9;5;68;0;0;0;1
jasperreports;net.sf.jasperreports.engine.design.JRAbstractCompiler;0;0;1;1;0;0;23;41;1;63;22;219;0;0;1;0
jasperreports;net.sf.jasperreports.engine.design.JRAbstractJavaCompiler;0;0;1;1;0;0;8;11;2;11;5;70;0;0;1;0
jasperreports;net.sf.jasperreports.engine.design.JRAbstractMultiClassCompiler;0;0;1;1;0;0;2;1;4;1;1;10;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRAbstractSingleClassCompiler;0;0;1;0;0;0;2;3;4;3;1;19;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignBreak;0;0;1;1;1;0;8;12;3;9;11;67;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignChart;0;0;1;1;1;0;53;195;3;96;148;1001;1;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignComponentElement;0;0;1;1;1;0;11;14;3;11;10;86;0;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignElement;0;0;1;1;1;0;8;20;2;19;15;143;0;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignEllipse;0;0;1;1;1;0;5;3;4;2;3;22;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignFrame;0;0;1;1;1;0;22;85;3;60;76;430;0;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignGenericElement;0;0;1;1;1;0;11;22;3;23;17;133;0;1;1;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignGraphicElement;0;0;1;1;1;0;10;20;3;18;17;106;0;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignImage;0;0;1;1;1;0;29;155;4;112;132;775;1;1;0;0
